driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
18-30,Above 10yr,Night,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Night,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,1-2yr,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,Above 10yr,Lorry,Cloudy,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
Over 51,No Licence,Morning,2-5yrs,Automobile,Cloudy,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Afternoon,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,Above 10yr,Public_transport,Normal,Earth roads,Daylight,Employee,Governmental,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Organization,No defect,Slight Injury
31-50,5-10yr,Night,Above 10yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Owner,Organization,No defect,Slight Injury
31-50,2-5yr,Night,2-5yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Afternoon,1-2yr,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,Unknown,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Unknown,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,1-2yr,Automobile,Raining,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Automobile,Normal,Earth roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Automobile,Raining,Earth roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Below 1yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Organization,No defect,Slight Injury
18-30,Below 1yr,Morning,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,Unknown,Afternoon,2-5yrs,Public_transport,Raining,Asphalt roads,Daylight,Unknown,Owner,Unknown,Slight Injury
Over 51,Below 1yr,Morning,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Unknown,Below 1yr,Morning,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Over 51,Unknown,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Unknown,Owner,Unknown,Slight Injury
Over 51,2-5yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Under 18,Below 1yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Under 18,Below 1yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,2-5yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
18-30,2-5yr,Evening,Unknown,Lorry,Normal,Earth roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Evening,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Serious Injury
31-50,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Morning,Unknown,Lorry,Normal,Other,Daylight,Employee,Owner,Unknown,Slight Injury
Under 18,5-10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,1-2yr,Morning,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,2-5yrs,Automobile,Other,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Afternoon,1-2yr,Pickup,Other,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,5-10yrs,Automobile,Other,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Above 10yr,Public_transport,Other,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,1-2yr,Public_transport,Other,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Unknown,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,1-2yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Organization,Unknown,Serious Injury
Under 18,Unknown,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
Over 51,Above 10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Below 1yr,Other,Raining,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,5-10yr,Morning,Unknown,Automobile,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
Unknown,Above 10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
18-30,1-2yr,Afternoon,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,No Licence,Evening,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,1-2yr,Evening,Unknown,Pickup,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Above 10yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Below 1yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Evening,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,Above 10yr,Afternoon,Unknown,Automobile,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Unknown,Pickup,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Serious Injury
Under 18,5-10yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Unknown,Taxi,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
Over 51,Below 1yr,Evening,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Below 1yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,Below 1yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
Over 51,1-2yr,Afternoon,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Evening,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,5-10yr,Evening,Unknown,Unknown,Normal,Asphalt roads,Daylight,Employee,Other,Unknown,Serious Injury
Over 51,5-10yr,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,2-5yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,No defect,Fatal Injury
18-30,2-5yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Automobile,Raining,Asphalt roads,Daylight,Employee,Governmental,No defect,Fatal Injury
18-30,2-5yr,Afternoon,Unknown,Automobile,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Fatal Injury
18-30,2-5yr,Afternoon,Below 1yr,Lorry,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Fatal Injury
31-50,5-10yr,Evening,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Unknown,Governmental,Unknown,Slight Injury
31-50,5-10yr,Afternoon,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Under 18,Above 10yr,Night,Above 10yr,Automobile,Other,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Night,1-2yr,Automobile,Other,Asphalt roads,Darkness - lights lit,Unknown,Owner,No defect,Slight Injury
18-30,5-10yr,Night,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Night,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Taxi,Raining,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Employee,Organization,Unknown,Slight Injury
Over 51,2-5yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Below 1yr,Lorry,Normal,Asphalt roads,Daylight,Owner,Governmental,No defect,Slight Injury
31-50,Above 10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Unknown,Taxi,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
31-50,Below 1yr,Afternoon,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
18-30,Above 10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
Unknown,5-10yr,Evening,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,1-2yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,1-2yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Lorry,Raining,Asphalt roads,Daylight,Employee,Unknown,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Automobile,Raining,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
31-50,Unknown,Afternoon,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Serious Injury
Unknown,2-5yr,Evening,Unknown,Pickup,Unknown,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Evening,Unknown,Motorcycle,Raining,Asphalt roads,Darkness - no lighting,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,No Licence,Evening,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Unknown,Taxi,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Over 51,2-5yr,Morning,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Under 18,Below 1yr,Evening,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Afternoon,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,5-10yrs,Taxi,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Unknown,Afternoon,Unknown,Taxi,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,Below 1yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Morning,Unknown,Automobile,Normal,Unknown,Daylight,Unknown,Owner,Unknown,Slight Injury
Under 18,Below 1yr,Morning,Unknown,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Morning,Unknown,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,Unknown,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,2-5yrs,Unknown,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Under 18,Above 10yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Evening,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
31-50,1-2yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Over 51,Below 1yr,Morning,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Employee,Organization,Unknown,Serious Injury
31-50,2-5yr,Morning,Above 10yr,Lorry,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
18-30,1-2yr,Afternoon,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Serious Injury
31-50,5-10yr,Afternoon,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights unlit,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Morning,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Night,Above 10yr,Other,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,No defect,Slight Injury
